invoice_id,customer_id,customer_name,invoice_amount,issue_date,due_date,payment_policy,currency
INV044,C004,BluePeak Logistics Pvt Ltd,234000,2026-05-21,2026-07-05,INSTALLMENTS_ALLOWED,INR
INV045,C005,Vertex Consulting LLP,423000,2026-07-18,2026-08-02,FULL_ONLY,INR
INV046,C006,GreenCart Commerce Pvt Ltd,428000,2026-07-25,2026-08-24,FULL_ONLY,INR
INV047,C007,Orbit Systems Pvt Ltd,145000,2026-05-18,2026-06-02,FULL_ONLY,INR
INV048,C008,Cedar Healthcare Pvt Ltd,89500,2026-07-10,2026-07-25,INSTALLMENTS_ALLOWED,INR
INV049,C009,Nimbus Learning Pvt Ltd,114000,2026-06-13,2026-07-28,FULL_ONLY,INR
INV050,C010,UrbanNest Interiors LLP,260000,2026-07-04,2026-07-19,FULL_ONLY,INR
INV051,C011,Silverline Manufacturing Pvt Ltd,226500,2026-07-21,2026-08-05,FULL_ONLY,INR
INV052,C012,Aster Mobility Pvt Ltd,180500,2026-05-01,2026-05-31,INSTALLMENTS_ALLOWED,INR
INV053,C013,BrightGrid Energy Pvt Ltd,292000,2026-06-26,2026-07-26,FULL_ONLY,INR
INV054,C014,PixelCraft Media LLP,493500,2026-05-10,2026-06-09,FULL_ONLY,INR
INV055,C015,PrimeLeaf Consumer Products Pvt Ltd,28000,2026-07-09,2026-07-24,FULL_ONLY,INR
INV056,C016,CloudArc Solutions Pvt Ltd,75000,2026-06-25,2026-07-25,INSTALLMENTS_ALLOWED,INR
INV057,C017,MetroMart Retail LLP,470000,2026-05-06,2026-05-21,FULL_ONLY,INR
INV058,C018,NorthStar Components Pvt Ltd,117500,2026-06-15,2026-07-15,FULL_ONLY,INR
INV059,C019,SwiftRoute Services Pvt Ltd,462500,2026-07-11,2026-07-26,FULL_ONLY,INR
INV060,C020,Zenith Business Solutions LLP,452500,2026-05-31,2026-06-15,INSTALLMENTS_ALLOWED,INR
INV061,C001,Alpha Retail Pvt Ltd,22500,2026-06-22,2026-07-07,FULL_ONLY,INR
INV062,C002,Nova Technologies Pvt Ltd,387000,2026-05-23,2026-06-07,FULL_ONLY,INR
INV063,C003,Horizon Foods LLP,91500,2026-06-04,2026-06-19,FULL_ONLY,INR
INV064,C004,BluePeak Logistics Pvt Ltd,449500,2026-05-05,2026-06-19,INSTALLMENTS_ALLOWED,INR
INV065,C005,Vertex Consulting LLP,189000,2026-06-28,2026-07-13,FULL_ONLY,INR
INV066,C006,GreenCart Commerce Pvt Ltd,22000,2026-05-29,2026-06-28,FULL_ONLY,INR
INV067,C007,Orbit Systems Pvt Ltd,152500,2026-06-12,2026-06-27,FULL_ONLY,INR
INV068,C008,Cedar Healthcare Pvt Ltd,338000,2026-06-14,2026-06-29,INSTALLMENTS_ALLOWED,INR
INV069,C009,Nimbus Learning Pvt Ltd,69000,2026-05-04,2026-06-18,FULL_ONLY,INR
INV070,C010,UrbanNest Interiors LLP,145500,2026-07-14,2026-07-29,FULL_ONLY,INR
INV071,C011,Silverline Manufacturing Pvt Ltd,383000,2026-06-14,2026-06-29,FULL_ONLY,INR
INV072,C012,Aster Mobility Pvt Ltd,271500,2026-07-17,2026-08-16,INSTALLMENTS_ALLOWED,INR
INV073,C013,BrightGrid Energy Pvt Ltd,207000,2026-05-15,2026-06-14,FULL_ONLY,INR
INV074,C014,PixelCraft Media LLP,276000,2026-05-01,2026-05-31,FULL_ONLY,INR
INV075,C015,PrimeLeaf Consumer Products Pvt Ltd,230500,2026-06-16,2026-07-01,FULL_ONLY,INR
INV076,C016,CloudArc Solutions Pvt Ltd,170500,2026-07-19,2026-08-18,INSTALLMENTS_ALLOWED,INR
INV077,C017,MetroMart Retail LLP,269500,2026-06-08,2026-06-23,FULL_ONLY,INR
INV078,C018,NorthStar Components Pvt Ltd,351000,2026-06-09,2026-07-09,FULL_ONLY,INR
INV079,C019,SwiftRoute Services Pvt Ltd,161000,2026-07-29,2026-08-13,FULL_ONLY,INR
INV080,C020,Zenith Business Solutions LLP,350000,2026-06-23,2026-07-08,INSTALLMENTS_ALLOWED,INR
INV081,C001,Alpha Retail Pvt Ltd,301000,2026-07-18,2026-08-02,FULL_ONLY,INR
INV082,C002,Nova Technologies Pvt Ltd,117500,2026-06-06,2026-06-21,FULL_ONLY,INR
INV083,C003,Horizon Foods LLP,236000,2026-06-29,2026-07-14,FULL_ONLY,INR
INV084,C004,BluePeak Logistics Pvt Ltd,252000,2026-07-05,2026-08-19,INSTALLMENTS_ALLOWED,INR
INV085,C005,Vertex Consulting LLP,273500,2026-06-06,2026-06-21,FULL_ONLY,INR
INV086,C006,GreenCart Commerce Pvt Ltd,429000,2026-05-12,2026-06-11,FULL_ONLY,INR
INV087,C007,Orbit Systems Pvt Ltd,422500,2026-05-29,2026-06-13,FULL_ONLY,INR
INV088,C008,Cedar Healthcare Pvt Ltd,253000,2026-06-01,2026-06-16,INSTALLMENTS_ALLOWED,INR
INV089,C009,Nimbus Learning Pvt Ltd,222000,2026-06-28,2026-08-12,INSTALLMENTS_ALLOWED,INR
INV090,C010,UrbanNest Interiors LLP,214500,2026-07-03,2026-07-18,FULL_ONLY,INR
INV091,C011,Silverline Manufacturing Pvt Ltd,408500,2026-05-14,2026-05-29,FULL_ONLY,INR
INV092,C012,Aster Mobility Pvt Ltd,295000,2026-05-07,2026-06-06,INSTALLMENTS_ALLOWED,INR
INV093,C013,BrightGrid Energy Pvt Ltd,78000,2026-06-28,2026-07-28,INSTALLMENTS_ALLOWED,INR
INV094,C014,PixelCraft Media LLP,323500,2026-06-26,2026-07-26,FULL_ONLY,INR
INV095,C015,PrimeLeaf Consumer Products Pvt Ltd,238000,2026-07-10,2026-07-25,FULL_ONLY,INR
INV096,C016,CloudArc Solutions Pvt Ltd,142500,2026-06-27,2026-07-27,INSTALLMENTS_ALLOWED,INR
INV097,C017,MetroMart Retail LLP,258000,2026-07-06,2026-07-21,FULL_ONLY,INR
INV098,C018,NorthStar Components Pvt Ltd,49500,2026-06-26,2026-07-26,FULL_ONLY,INR
INV099,C019,SwiftRoute Services Pvt Ltd,173500,2026-06-12,2026-06-27,FULL_ONLY,INR
INV100,C020,Zenith Business Solutions LLP,87000,2026-05-18,2026-06-02,INSTALLMENTS_ALLOWED,INR
