bank_txn_id,settlement_id,reference,amount,transaction_date,description
BNK0035,SET0035,BANK-SET0035,451000,2026-08-12,Settlement credit - PRIMELEAF CONSUMER PRODUCTS PVT LTD
BNK0036,SET0036,BANK-SET0036,451000,2026-08-12,Settlement credit - PRIMELEAF CONSUMER PRODUCTS PVT LTD
BNK0037,SET0037,BANK-SET0037,314000,2026-08-13,Settlement credit - CLOUDARC SOLNS PVT LTD
BNK0038,,METROMART RTL LLP SETTLEMENT 346500,346500,2026-07-15,Settlement credit - METROMART RTL LLP
BNK0039,,NORTHSTAR COMPONENTS PVT LTD SETTLEMENT 114500,114500,2026-07-15,Settlement credit - NORTHSTAR COMPONENTS PVT LTD
BNK0040,SET0040,BANK-SET0040,109125,2026-06-17,Settlement credit - SWIFTROUTE SRVCS PVT LTD
BNK0041,,ZENITH BUSINESS SOLNS LLP SETTLEMENT 171500,171500,2026-08-19,Settlement credit - ZENITH BUSINESS SOLNS LLP
BNK0042,SET0042,BANK-SET0042,0,2026-05-24,Settlement credit - ALPHA RTL PVT LTD
BNK0043,SET0043,BANK-SET0043,71400,2026-07-25,Settlement credit - NOVA TECH PVT LTD
BNK0044,SET0044,BANK-SET0044,449144,2026-05-26,Settlement credit - HORIZON FOODS LLP
BNK0045,SET0045,BANK-SET0045,234000,2026-07-27,Settlement credit - BLUEPEAK LOGISTICS PVT LTD
BNK0046,SET0046,BANK-SET0046,423000,2026-08-14,Settlement credit - VERTEX CONSULTING LLP
BNK0047,,GREENCART COMMERCE PVT LTD SETTLEMENT 428000,428000,2026-08-31,Settlement credit - GREENCART COMMERCE PVT LTD
BNK0048,SET0048,BANK-SET0048,145000,2026-06-04,Settlement credit - ORBIT SYSTEMS PVT LTD
BNK0049,SET0049,BANK-SET0049,0,2026-07-27,Settlement credit - CEDAR HEALTHCARE PVT LTD
BNK0050,SET0050,BANK-SET0050,114000,2026-08-09,Settlement credit - NIMBUS LEARNING PVT LTD
BNK0051,SET0051,BANK-SET0051,0,2026-07-21,Settlement credit - URBANNEST INTERIORS LLP
BNK0052,SET0052,BANK-SET0052,226500,2026-08-27,Settlement credit - SILVERLINE MANUFACTURING PVT LTD
BNK0053,SET0053,BANK-SET0053,135375,2026-06-12,Settlement credit - ASTER MOBILITY PVT LTD
BNK0054,SET0054,BANK-SET0054,233600,2026-08-07,Settlement credit - BRIGHTGRID ENERGY PVT LTD
BNK0055,SET0056,BANK-SET0056,27339,2026-08-15,Settlement credit - PRIMELEAF CONSUMER PRODUCTS PVT LTD
BNK0056,SET0057,BANK-SET0057,75000,2026-07-25,Settlement credit - CLOUDARC SOLNS PVT LTD
BNK0057,SET0058,BANK-SET0058,109500,2026-07-27,Settlement credit - NORTHSTAR COMPONENTS PVT LTD
BNK0058,SET0059,BANK-SET0059,451585,2026-08-17,Settlement credit - SWIFTROUTE SRVCS PVT LTD
BNK0059,SET0060,BANK-SET0060,452500,2026-06-17,Settlement credit - ZENITH BUSINESS SOLNS LLP
BNK0060,SET0061,BANK-SET0061,387000,2026-07-19,Settlement credit - NOVA TECH PVT LTD
BNK0061,SET0062,BANK-SET0062,79500,2026-07-01,Settlement credit - HORIZON FOODS LLP
BNK0062,SET0063,BANK-SET0063,449500,2026-06-23,Settlement credit - BLUEPEAK LOGISTICS PVT LTD
BNK0063,SET0064,BANK-SET0064,189000,2026-07-17,Settlement credit - VERTEX CONSULTING LLP
BNK0064,SET0065,BANK-SET0065,22000,2026-07-10,Settlement credit - GREENCART COMMERCE PVT LTD
BNK0065,SET0066,BANK-SET0066,152500,2026-07-19,Settlement credit - ORBIT SYSTEMS PVT LTD
BNK0066,SET0067,BANK-SET0067,338000,2026-07-06,Settlement credit - CEDAR HEALTHCARE PVT LTD
BNK0067,SET0068,BANK-SET0068,64000,2026-07-10,Settlement credit - NIMBUS LEARNING PVT LTD
BNK0068,SET0069,BANK-SET0069,0,2026-07-29,Settlement credit - URBANNEST INTERIORS LLP
BNK0069,SET0070,BANK-SET0070,383000,2026-07-11,Settlement credit - SILVERLINE MANUFACTURING PVT LTD
BNK0070,SET0071,BANK-SET0071,202000,2026-06-16,Settlement credit - BRIGHTGRID ENERGY PVT LTD
BNK0071,SET0072,BANK-SET0072,269486,2026-07-07,Settlement credit - PIXELCRAFT MEDIA LLP
BNK0072,SET0074,BANK-SET0074,170500,2026-08-30,Settlement credit - CLOUDARC SOLNS PVT LTD
BNK0073,SET0077,BANK-SET0077,350000,2026-08-14,Settlement credit - ZENITH BUSINESS SOLNS LLP
BNK0074,SET0078,BANK-SET0078,293000,2026-08-06,Settlement credit - ALPHA RTL PVT LTD
BNK0075,SET0079,BANK-SET0079,117500,2026-06-25,Settlement credit - NOVA TECH PVT LTD
BNK0076,SET0080,BANK-SET0080,236000,2026-07-18,Settlement credit - HORIZON FOODS LLP
BNK0077,SET0081,BANK-SET0081,252000,2026-09-04,Settlement credit - BLUEPEAK LOGISTICS PVT LTD
BNK0078,SET0082,BANK-SET0082,0,2026-07-03,Settlement credit - VERTEX CONSULTING LLP
BNK0079,SET0083,BANK-SET0083,429000,2026-07-18,Settlement credit - GREENCART COMMERCE PVT LTD
BNK0080,SET0084,BANK-SET0084,429000,2026-07-18,Settlement credit - GREENCART COMMERCE PVT LTD
BNK0081,SET0085,BANK-SET0085,422500,2026-06-15,Settlement credit - ORBIT SYSTEMS PVT LTD
BNK0082,SET0086,BANK-SET0086,422500,2026-06-15,Settlement credit - ORBIT SYSTEMS PVT LTD
BNK0083,SET0087,BANK-SET0087,247029,2026-06-23,Settlement credit - CEDAR HEALTHCARE PVT LTD
BNK0084,SET0088,BANK-SET0088,111000,2026-08-24,Settlement credit - NIMBUS LEARNING PVT LTD
BNK0085,SET0089,BANK-SET0089,214500,2026-07-20,Settlement credit - URBANNEST INTERIORS LLP
BNK0086,SET0090,BANK-SET0090,245100,2026-06-02,Settlement credit - SILVERLINE MANUFACTURING PVT LTD
BNK0087,SET0091,BANK-SET0091,295000,2026-06-08,Settlement credit - ASTER MOBILITY PVT LTD
BNK0088,SET0092,BANK-SET0092,58500,2026-08-09,Settlement credit - BRIGHTGRID ENERGY PVT LTD
BNK0089,,PIXELCRAFT MEDIA LLP SETTLEMENT 323500,323500,2026-08-17,Settlement credit - PIXELCRAFT MEDIA LLP
BNK0090,SET0094,BANK-SET0094,233000,2026-08-06,Settlement credit - PRIMELEAF CONSUMER PRODUCTS PVT LTD
BNK0091,SET0095,BANK-SET0095,142500,2026-08-08,Settlement credit - CLOUDARC SOLNS PVT LTD
BNK0092,SET0096,BANK-SET0096,258000,2026-07-28,Settlement credit - METROMART RTL LLP
BNK0093,SET0097,BANK-SET0097,49500,2026-08-07,Settlement credit - NORTHSTAR COMPONENTS PVT LTD
BNK0094,SET0098,BANK-SET0098,49500,2026-08-07,Settlement credit - NORTHSTAR COMPONENTS PVT LTD
BNK0095,SET0099,BANK-SET0099,169405,2026-07-19,Settlement credit - SWIFTROUTE SRVCS PVT LTD
BNK0096,SET0100,BANK-SET0100,0,2026-06-04,Settlement credit - ZENITH BUSINESS SOLNS LLP
