payment_id,invoice_id,customer_id,amount,payment_date,payment_method,payment_status,reference
PAY0030,INV030,C010,156000,2026-07-15,BANK_TRANSFER,SUCCESS,REF-INV030-PAY0030
PAY0031,INV031,C011,107000,2026-06-04,UPI,SUCCESS,REF-INV031-PAY0031
PAY0032,INV032,C012,386500,2026-08-18,NETBANKING,SUCCESS,REF-INV032-PAY0032
PAY0033,INV033,C013,35500,2026-06-12,CARD,SUCCESS,REF-INV033-PAY0033
PAY0034,INV034,C014,46000,2026-08-04,UPI,SUCCESS,REF-INV034-PAY0034
PAY0035,INV035,C015,451000,2026-08-10,UPI,SUCCESS,REF-INV035-PAY0035
PAY0036,INV035,C015,451000,2026-08-11,CARD,SUCCESS,REF-INV035-PAY0036
PAY0037,INV036,C016,314000,2026-08-11,UPI,SUCCESS,REF-INV036-PAY0037
PAY0038,,C017,346500,2026-07-13,NETBANKING,SUCCESS,METROMART RTL LLP 346500 2306
PAY0039,,C018,114500,2026-07-13,NETBANKING,SUCCESS,NORTHSTAR COMPONENTS PVT LTD 114500 0306
PAY0040,INV039,C019,109125,2026-06-15,NETBANKING,SUCCESS,REF-INV039-PAY0040
PAY0041,,C020,171500,2026-08-17,UPI,SUCCESS,ZENITH BUSINESS SOLNS LLP 171500 2806
PAY0042,INV041,C001,244500,2026-05-22,UPI,SUCCESS,REF-INV041-PAY0042
PAY0043,INV042,C002,71400,2026-07-23,NETBANKING,SUCCESS,REF-INV042-PAY0043
PAY0044,INV043,C003,460000,2026-05-24,NETBANKING,SUCCESS,REF-INV043-PAY0044
PAY0045,INV044,C004,234000,2026-07-25,NETBANKING,SUCCESS,REF-INV044-PAY0045
PAY0046,INV045,C005,423000,2026-08-12,UPI,SUCCESS,REF-INV045-PAY0046
PAY0047,,C006,428000,2026-08-29,UPI,SUCCESS,GREENCART COMMERCE PVT LTD 428000 2507
PAY0048,INV047,C007,145000,2026-06-02,UPI,SUCCESS,REF-INV047-PAY0048
PAY0049,INV048,C008,89500,2026-07-25,CARD,SUCCESS,REF-INV048-PAY0049
PAY0050,INV049,C009,114000,2026-08-07,NETBANKING,SUCCESS,REF-INV049-PAY0050
PAY0051,INV050,C010,260000,2026-07-19,UPI,SUCCESS,REF-INV050-PAY0051
PAY0052,INV051,C011,226500,2026-08-25,UPI,SUCCESS,REF-INV051-PAY0052
PAY0053,INV052,C012,180500,2026-06-10,NETBANKING,SUCCESS,REF-INV052-PAY0053
PAY0054,INV053,C013,292000,2026-08-05,UPI,SUCCESS,REF-INV053-PAY0054
PAY0055,INV054,C014,493500,2026-06-29,CARD,SUCCESS,REF-INV054-PAY0055
PAY0056,INV055,C015,28000,2026-08-13,CARD,SUCCESS,REF-INV055-PAY0056
PAY0057,INV056,C016,75000,2026-07-23,NETBANKING,SUCCESS,REF-INV056-PAY0057
PAY0058,INV058,C018,117500,2026-07-25,UPI,SUCCESS,REF-INV058-PAY0058
PAY0059,INV059,C019,462500,2026-08-15,CARD,SUCCESS,REF-INV059-PAY0059
PAY0060,INV060,C020,452500,2026-06-15,CARD,SUCCESS,REF-INV060-PAY0060
PAY0061,INV062,C002,387000,2026-07-12,BANK_TRANSFER,SUCCESS,REF-INV062-PAY0061
PAY0062,INV063,C003,91500,2026-06-29,UPI,SUCCESS,REF-INV063-PAY0062
PAY0063,INV064,C004,449500,2026-06-21,CARD,SUCCESS,REF-INV064-PAY0063
PAY0064,INV065,C005,189000,2026-07-15,CARD,SUCCESS,REF-INV065-PAY0064
PAY0065,INV066,C006,22000,2026-07-08,BANK_TRANSFER,SUCCESS,REF-INV066-PAY0065
PAY0066,INV067,C007,152500,2026-07-17,NETBANKING,SUCCESS,REF-INV067-PAY0066
PAY0067,INV068,C008,338000,2026-07-04,NETBANKING,SUCCESS,REF-INV068-PAY0067
PAY0068,INV069,C009,69000,2026-07-08,NETBANKING,SUCCESS,REF-INV069-PAY0068
PAY0069,INV070,C010,145500,2026-07-27,BANK_TRANSFER,SUCCESS,REF-INV070-PAY0069
PAY0070,INV071,C011,383000,2026-07-09,BANK_TRANSFER,SUCCESS,REF-INV071-PAY0070
PAY0071,INV073,C013,202000,2026-06-14,BANK_TRANSFER,SUCCESS,REF-INV073-PAY0071
PAY0072,INV074,C014,276000,2026-07-05,CARD,SUCCESS,REF-INV074-PAY0072
PAY0073,INV075,C015,230500,2026-07-01,NETBANKING,SUCCESS,REF-INV075-PAY0073
PAY0074,INV076,C016,170500,2026-08-28,UPI,SUCCESS,REF-INV076-PAY0074
PAY0075,INV078,C018,351000,2026-07-11,BANK_TRANSFER,SUCCESS,REF-INV078-PAY0075
PAY0076,INV079,C019,161000,2026-08-18,CARD,SUCCESS,REF-INV079-PAY0076
PAY0077,INV080,C020,350000,2026-08-12,CARD,SUCCESS,REF-INV080-PAY0077
PAY0078,INV081,C001,301000,2026-08-04,UPI,SUCCESS,REF-INV081-PAY0078
PAY0079,INV082,C002,117500,2026-06-23,NETBANKING,SUCCESS,REF-INV082-PAY0079
PAY0080,INV083,C003,236000,2026-07-16,CARD,SUCCESS,REF-INV083-PAY0080
PAY0081,INV084,C004,252000,2026-08-29,CARD,SUCCESS,REF-INV084-PAY0081
PAY0082,INV085,C005,273500,2026-07-01,NETBANKING,SUCCESS,REF-INV085-PAY0082
PAY0083,INV086,C006,429000,2026-07-16,CARD,SUCCESS,REF-INV086-PAY0083
PAY0084,INV086,C006,429000,2026-07-17,NETBANKING,SUCCESS,REF-INV086-PAY0084
PAY0085,INV087,C007,422500,2026-06-13,UPI,SUCCESS,REF-INV087-PAY0085
PAY0086,INV087,C007,422500,2026-06-14,UPI,SUCCESS,REF-INV087-PAY0086
PAY0087,INV088,C008,253000,2026-06-21,UPI,SUCCESS,REF-INV088-PAY0087
PAY0088,INV089,C009,111000,2026-08-22,BANK_TRANSFER,SUCCESS,REF-INV089-PAY0088
PAY0089,INV090,C010,214500,2026-07-18,UPI,SUCCESS,REF-INV090-PAY0089
PAY0090,INV091,C011,408500,2026-05-31,CARD,SUCCESS,REF-INV091-PAY0090
PAY0091,INV092,C012,295000,2026-06-06,UPI,SUCCESS,REF-INV092-PAY0091
PAY0092,INV093,C013,58500,2026-08-07,NETBANKING,SUCCESS,REF-INV093-PAY0092
PAY0093,,C014,323500,2026-08-15,BANK_TRANSFER,SUCCESS,PIXELCRAFT MEDIA LLP 323500 2606
PAY0094,INV095,C015,233000,2026-08-04,BANK_TRANSFER,SUCCESS,REF-INV095-PAY0094
PAY0095,INV096,C016,142500,2026-08-06,NETBANKING,SUCCESS,REF-INV096-PAY0095
PAY0096,INV097,C017,258000,2026-07-26,NETBANKING,SUCCESS,REF-INV097-PAY0096
PAY0097,INV098,C018,49500,2026-08-05,CARD,SUCCESS,REF-INV098-PAY0097
PAY0098,INV098,C018,49500,2026-08-06,NETBANKING,SUCCESS,REF-INV098-PAY0098
PAY0099,INV099,C019,173500,2026-07-17,UPI,SUCCESS,REF-INV099-PAY0099
PAY0100,INV100,C020,87000,2026-06-02,CARD,SUCCESS,REF-INV100-PAY0100
